Date,Title,Date,"Community (city,town, ward)",LGA,State,Total Deaths,Boko Haram (P),State Actor (P),Sectarian Actor (excluding BH) (P),Other Armed Actor (P),Kidnapper (P),Robber (P),Other (P),Election-related Actor (P),Cameroon State Actor (P),Boko Haram (V),State Actor (V),Sectarian Actor (V),Other Armed Actor (V),Political Actor (V),Kidnapper (V),Kidnapee (V),Robber (V),Journalist (V),Civilian (V),Election-related Actor (V),Cameroon State Actor,Bomb,Gun,Machete,Suicide Bombing,Other Weapon,TK,Drinking Establishment,Goverment Building,Church,Mosque,Bank,School,Other Location,Notes,Sources 1,Sources 2,Sources 3,Latitude,Longitude,full place name
2014-04-03,Gunmen attack two villages,4/3/2014,Maitsaba and Birnin-Tsaba,Zurmi,Zamfara,28.0,,,,Other Armed Actor,,,,,,,,,,,,,,,28.0,,,,Gun,,,,,,,,,,,,,http://allafrica.com/stories/201404050027.html,,,12.8088785,#ERROR! ( Service invoked too many times in a short time: geocode. Try Utilities.sleep(1000) between calls. (line 27).),"Zurmi, Zamfara, Nigeria"
2014-04-05,112 killed in Zamfara by Fulani ,4/5/2014,Yar Galadima,Maru,Zamfara,200.0,,,Sectarian Actor,,,,,,,,,200.0,,,,,,,,,,,Gun,,,,,,,,,,,Other,Attacked a meeting of commuinty leaders,http://www.aljazeera.com/news/africa/2014/04/dozens-killed-nigeria-land-dispute-201446125830743793.html,http://www.bbc.com/news/world-africa-26913046,http://www.premiumtimesng.com/news/158203-zamfara-attack-112-buried-governor-yari-vows-action.html,38.8828158,#ERROR! ( Service invoked too many times in a short time: geocode. Try Utilities.sleep(1000) between calls. (line 27).),"Maru, Zamfara, Nigeria"
2014-11-02,42 killed in Zamfara by cattle rustlers,11/2/2014,Gidan Kaso,Birnin Magaji/Kiyaw,Zamfara,42.0,,,Sectarian Actor,,,,,,,,,42.0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2014/11/42-killed-zamfara-cattle-rustlers/,,,12.53742027,6.778659821,"Birnin Magaji/Kiyaw, Zamfara, Nigeria"
2014-11-26,8 bandits killed in Zamfara,11/26/2014,Wonaka,Gusau,Zamfara,8.0,,State Actor,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,Other,,http://www.dailytrust.com.ng/daily/news/40564-8-bandits-killed-in-zamfara,,,12.17327976,6.666550159,"Gusau, Zamfara, Nigeria"
2015-03-20,Gunmen Kidnap Emir Of Bukukuyum In Zamfara,3/20/2015,,Bukkuyum,Zamfara,0.0,,,,,Kidnapper,,,,,,,,,,,1.0,,,,,,,Gun,,,,,,,,,,,Other,,http://leadership.ng/news/419208/gunmen-kidnap-emir-of-bukukuyum-in-zamfara,,,12.13360023,5.468090057,"Bukkuyum, Zamfara, Nigeria"
2015-07-04,"Cattle Rustlers Kill 40, Injure Many in Zamfara",7/4/2015,Kokeya and Chigama,Birnin Magaji/Kiyaw,Zamfara,40.0,,,,Other Armed Actor,,,,,,,,,,,,,,,40.0,,,,Gun,,,,,,,,,,,Other,,http://www.premiumtimesng.com/news/headlines/186097-gunmen-storm-zamfara-communities-kill-30.html,http://allafrica.com/stories/201507090243.html,,12.53742027,6.778659821,"Birnin Magaji/Kiyaw, Zamfara, Nigeria"
2016-01-15,Gunmen invade police station in Zamfara,1/15/2016,Kanoma,Maru,Zamfara,0.0,,State Actor,,Other Armed Actor,,,,,,,0.0,,,,,,,,,,,,Gun,,,,,,Government Building,,,,,,,http://www.premiumtimesng.com/news/more-news/196871-gunmen-invade-police-station-in-zamfara.html,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-02-06,Gunmen Massacre 50 in Zamfara,2/6/2016,Kwanar Dutse,Maru,Zamfara,50.0,,,Sectarian Actor,,,,,,,,,50.0,,,,,,,,,,,Gun,,,Other,,,,,,,,Other,,http://www.thisdaylive.com/articles/gunmen-massacre-50-in-zamfara/231554/,http://nation.com.pk/international/09-Feb-2016/at-least-23-killed-in-nw-nigeria-attack,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-03-17,Police confirm 9 killed in village attack in Zamfara ,3/17/2016,Daraga,Maru,Zamfara,9.0,,,Sectarian Actor,,,,,,,,,9.0,,,,,,,,,,,Gun,,,,,,,,,,,Other,,http://www.vanguardngr.com/2016/03/police-confirm-9-killed-village-attack-zamfara/,,,11.64836025,6.246029854,"Maru, Zamfara, Nigeria"
2016-04-08,"Soldiers Kill 4 Rustlers, Injure Others In Zamfara",4/8/2016,,Gusau,Zamfara,4.0,,State Actor,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,Other,,http://leadership.ng/news/517078/faceoff-soldiers-kill-4-rustlers-injure-others-zamfara,,,12.17327976,6.666550159,"Gusau, Zamfara, Nigeria"
